"train_number","series_length","from_date","to_date"
"EC 278",90,"2026-01-01","2026-03-31"
"EC 279",90,"2026-01-01","2026-03-31"
"EC 281",90,"2026-01-01","2026-03-31"
"EC 282",90,"2026-01-01","2026-03-31"
"Os 4827",90,"2026-01-01","2026-03-31"
"Os 7826",90,"2026-01-01","2026-03-31"
"R 917",90,"2026-01-01","2026-03-31"
"REX 1948",90,"2026-01-01","2026-03-31"
"EC 140",89,"2026-01-01","2026-03-31"
"EC 141",89,"2026-01-01","2026-03-31"
"EC 142",89,"2026-01-01","2026-03-31"
"EC 283",89,"2026-01-01","2026-03-31"
"EN 476",89,"2026-01-01","2026-03-31"
"EN 477",89,"2026-01-01","2026-03-31"
"Os 5137",89,"2026-01-01","2026-03-31"
"Os 7301",89,"2026-01-01","2026-03-31"
"Os 8016",89,"2026-01-01","2026-03-31"
"R 941",89,"2026-01-01","2026-03-31"
"REX 1924",89,"2026-01-01","2026-03-31"
"REX 2527",89,"2026-01-01","2026-03-31"
"EC 130",88,"2026-01-01","2026-03-31"
"EC 143",88,"2026-01-01","2026-03-31"
"Os 5106",88,"2026-01-01","2026-03-31"
"Os 5534",88,"2026-01-01","2026-03-31"
"Os 6428",88,"2026-01-01","2026-03-31"
"Os 7320",88,"2026-01-01","2026-03-31"
"Os 8025",88,"2026-01-01","2026-03-31"
"Os 8208",88,"2026-01-01","2026-03-31"
"Os 8221",88,"2026-01-01","2026-03-31"
"Os 8512",88,"2026-01-01","2026-03-31"
"Os 8533",88,"2026-01-01","2026-03-31"
"EC 280",87,"2026-01-01","2026-03-31"
"EN 442",87,"2026-01-01","2026-03-31"
"Os 18009",87,"2026-01-01","2026-03-31"
"Os 18022",87,"2026-01-01","2026-03-31"
"Os 5525",87,"2026-01-01","2026-03-31"
"Os 8108",87,"2026-01-01","2026-03-31"
"Os 8123",87,"2026-01-01","2026-03-31"
"Os 9009",87,"2026-01-01","2026-03-31"
"Os 8102",86,"2026-01-01","2026-03-31"
"Os 2028",78,"2026-01-09","2026-03-31"
"EC 144",73,"2026-01-16","2026-03-31"
"EC 145",73,"2026-01-16","2026-03-31"
"Os 8523",64,"2026-01-01","2026-03-31"
"REX 1902",64,"2026-01-01","2026-03-31"
"EN 443",63,"2026-01-26","2026-03-31"
"Os 4018",63,"2026-01-01","2026-03-31"
"Os 4502",63,"2026-01-01","2026-03-31"
"REX 1872",63,"2026-01-01","2026-03-31"
"Os 4375",62,"2026-01-01","2026-03-31"
"Os 4505",62,"2026-01-01","2026-03-31"
"Os 4510",62,"2026-01-01","2026-03-31"
"Os 4775",62,"2026-01-01","2026-03-31"
"Os 9027",62,"2026-01-01","2026-03-31"
"REX 1863",62,"2026-01-01","2026-03-31"
"REX 1903",62,"2026-01-01","2026-03-31"
"Os 4376",61,"2026-01-01","2026-03-31"
"Os 4818",61,"2026-01-01","2026-03-31"
"Os 6226",60,"2026-01-01","2026-03-31"
"Os 7545",60,"2026-01-01","2026-03-31"
"Ex 505",59,"2026-02-01","2026-03-31"
"Ex 525",59,"2026-02-01","2026-03-31"
"Ex 603",59,"2026-02-01","2026-03-31"
"Ex 604",59,"2026-02-01","2026-03-31"
"Ex 607",59,"2026-02-01","2026-03-31"
"Ex 613",59,"2026-02-01","2026-03-31"
"Ex 621",59,"2026-02-01","2026-03-31"
"Ex 641",59,"2026-02-01","2026-03-31"
"Ex 642",59,"2026-02-01","2026-03-31"
"Ex 653",59,"2026-02-01","2026-03-31"
"Os 3017",59,"2026-02-01","2026-03-31"
"Os 3032",59,"2026-02-01","2026-03-31"
"Os 3305",59,"2026-02-01","2026-03-31"
"Ex 42",58,"2026-02-01","2026-03-31"
"Ex 43",58,"2026-02-01","2026-03-31"
"Ex 44",58,"2026-02-01","2026-03-31"
"Ex 45",58,"2026-02-01","2026-03-31"
"Ex 46",58,"2026-02-01","2026-03-31"
"Ex 606",58,"2026-02-01","2026-03-31"
"Ex 610",58,"2026-02-01","2026-03-31"
"Ex 611",58,"2026-02-01","2026-03-31"
"Ex 617",58,"2026-02-01","2026-03-31"
"Ex 618",58,"2026-02-01","2026-03-31"
"Ex 620",58,"2026-02-01","2026-03-31"
"Ex 622",58,"2026-02-01","2026-03-31"
"Ex 628",58,"2026-02-01","2026-03-31"
"Ex 640",58,"2026-02-01","2026-03-31"
"Ex 654",58,"2026-02-01","2026-03-31"
"Os 3011",58,"2026-02-01","2026-03-31"
"Os 3330",58,"2026-02-02","2026-03-31"
"Ex 47",57,"2026-02-01","2026-03-31"
"Ex 502",57,"2026-02-01","2026-03-31"
"Ex 526",57,"2026-02-01","2026-03-31"
"Ex 612",57,"2026-02-01","2026-03-31"
"Ex 619",57,"2026-02-01","2026-03-31"
"Ex 624",57,"2026-02-01","2026-03-31"
"Ex 627",57,"2026-02-01","2026-03-31"
"Ex 629",57,"2026-02-01","2026-03-31"
"Ex 643",57,"2026-02-01","2026-03-31"
"Ex 614",56,"2026-02-01","2026-03-31"
"Ex 609",54,"2026-02-01","2026-03-31"
"Ex 651",50,"2026-02-01","2026-03-31"
"Ex 652",50,"2026-02-02","2026-03-31"
"Os 3340",42,"2026-02-02","2026-03-31"
"Os 5153",41,"2026-02-16","2026-03-31"
"IC 131",23,"2026-03-08","2026-03-31"
"EC 298",13,"2026-01-05","2026-03-30"
"EC 299",13,"2026-01-04","2026-03-29"
"EN 97443",13,"2026-01-02","2026-03-27"
"R 17840",13,"2026-01-04","2026-03-29"
