"train_number","date","station","departure_delay","delay_change"
"Ex 42","2026-02-01","Košice",0,NULL
"Ex 42","2026-02-01","Kysak",0,0
"Ex 42","2026-02-01","Margecany",0,0
"Ex 42","2026-02-01","Spišská Nová Ves",0,0
"Ex 42","2026-02-01","Poprad-Tatry",0,0
"Ex 42","2026-02-01","Štrba",0,0
"Ex 42","2026-02-01","Liptovský Mikuláš",0,0
"Ex 42","2026-02-01","Ružomberok",0,0
"Ex 42","2026-02-01","Kraľovany",4,4
"Ex 42","2026-02-01","Vrútky",4,0
"Ex 42","2026-02-01","Žilina",2,-2
"Ex 42","2026-02-01","Považská Bystrica",2,0
"Ex 42","2026-02-01","Púchov",3,1
"Ex 42","2026-02-01","Trenčín",0,-3
"Ex 42","2026-02-01","Trnava",5,5
"Ex 42","2026-02-01","Bratislava-Vinohrady",2,-3
"Ex 42","2026-02-01","Bratislava hl.st.",NULL,NULL
"Ex 42","2026-02-02","Košice",0,NULL
"Ex 42","2026-02-02","Kysak",0,0
"Ex 42","2026-02-02","Margecany",0,0
"Ex 42","2026-02-02","Spišská Nová Ves",0,0
"Ex 42","2026-02-02","Poprad-Tatry",10,10
"Ex 42","2026-02-02","Štrba",7,-3
"Ex 42","2026-02-02","Liptovský Mikuláš",6,-1
"Ex 42","2026-02-02","Ružomberok",3,-3
"Ex 42","2026-02-02","Kraľovany",3,0
"Ex 42","2026-02-02","Vrútky",9,6
"Ex 42","2026-02-02","Žilina",8,-1
"Ex 42","2026-02-02","Považská Bystrica",8,0
"Ex 42","2026-02-02","Púchov",5,-3
"Ex 42","2026-02-02","Trenčín",8,3
"Ex 42","2026-02-02","Trnava",5,-3
"Ex 42","2026-02-02","Bratislava-Vinohrady",2,-3
"Ex 42","2026-02-02","Bratislava hl.st.",NULL,NULL
"Ex 42","2026-02-03","Košice",7,NULL
"Ex 42","2026-02-03","Kysak",7,0
"Ex 42","2026-02-03","Margecany",6,-1
"Ex 42","2026-02-03","Spišská Nová Ves",6,0
"Ex 42","2026-02-03","Poprad-Tatry",3,-3
"Ex 42","2026-02-03","Štrba",3,0
"Ex 42","2026-02-03","Liptovský Mikuláš",3,0
"Ex 42","2026-02-03","Ružomberok",1,-2
"Ex 42","2026-02-03","Kraľovany",10,9
"Ex 42","2026-02-03","Vrútky",10,0
"Ex 42","2026-02-03","Žilina",9,-1
"Ex 42","2026-02-03","Považská Bystrica",7,-2
"Ex 42","2026-02-03","Púchov",5,-2
"Ex 42","2026-02-03","Trenčín",4,-1
"Ex 42","2026-02-03","Trnava",4,0
"Ex 42","2026-02-03","Bratislava-Vinohrady",71,67
"Ex 42","2026-02-03","Bratislava hl.st.",NULL,NULL
"Ex 42","2026-02-04","Košice",0,NULL
"Ex 42","2026-02-04","Kysak",0,0
"Ex 42","2026-02-04","Margecany",0,0
"Ex 42","2026-02-04","Spišská Nová Ves",0,0
"Ex 42","2026-02-04","Poprad-Tatry",0,0
"Ex 42","2026-02-04","Štrba",20,20
"Ex 42","2026-02-04","Liptovský Mikuláš",20,0
"Ex 42","2026-02-04","Ružomberok",19,-1
"Ex 42","2026-02-04","Kraľovany",16,-3
"Ex 42","2026-02-04","Vrútky",15,-1
