"train_number","series_length","from_date","to_date"
"EC 278","90","2026-01-01","2026-03-31"
"EC 279","90","2026-01-01","2026-03-31"
"EC 281","90","2026-01-01","2026-03-31"
"EC 282","90","2026-01-01","2026-03-31"
"Os 4827","90","2026-01-01","2026-03-31"
"Os 7826","90","2026-01-01","2026-03-31"
"R 917","90","2026-01-01","2026-03-31"
"REX 1948","90","2026-01-01","2026-03-31"
"Os 8016","86","2026-01-01","2026-03-27"
"EC 141","83","2026-01-01","2026-03-24"
"REX 2527","80","2026-01-11","2026-03-31"
"Os 5137","78","2026-01-13","2026-03-31"
"EC 140","77","2026-01-01","2026-03-18"
"EN 476","74","2026-01-17","2026-03-31"
"Os 8533","74","2026-01-06","2026-03-20"
"Os 8025","71","2026-01-08","2026-03-19"
"EC 142","70","2026-01-21","2026-03-31"
"EC 283","70","2026-01-01","2026-03-11"
"EC 143","69","2026-01-01","2026-03-10"
"EC 144","69","2026-01-16","2026-03-25"
"Os 5534","68","2026-01-01","2026-03-09"
"REX 1924","68","2026-01-01","2026-03-09"
"Os 8512","67","2026-01-04","2026-03-11"
"EC 145","59","2026-01-16","2026-03-15"
"Ex 505","59","2026-02-01","2026-03-31"
"Ex 525","59","2026-02-01","2026-03-31"
"Ex 603","59","2026-02-01","2026-03-31"
"Ex 604","59","2026-02-01","2026-03-31"
"Ex 607","59","2026-02-01","2026-03-31"
"Ex 613","59","2026-02-01","2026-03-31"
"Ex 621","59","2026-02-01","2026-03-31"
"Ex 641","59","2026-02-01","2026-03-31"
"Ex 642","59","2026-02-01","2026-03-31"
"Ex 653","59","2026-02-01","2026-03-31"
"Os 3017","59","2026-02-01","2026-03-31"
"Os 3032","59","2026-02-01","2026-03-31"
"Os 3305","59","2026-02-01","2026-03-31"
"Os 3330","58","2026-02-02","2026-03-31"
"Ex 654","57","2026-02-01","2026-03-29"
"Ex 620","55","2026-02-01","2026-03-27"
"Ex 622","55","2026-02-05","2026-03-31"
"Os 18022","55","2026-01-01","2026-02-24"
"Os 3011","55","2026-02-01","2026-03-27"
"Ex 619","54","2026-02-01","2026-03-26"
"Os 5525","54","2026-01-01","2026-02-23"
"Os 8208","54","2026-01-08","2026-03-02"
"EN 477","53","2026-02-07","2026-03-31"
"Os 5106","53","2026-01-01","2026-02-22"
"Ex 46","52","2026-02-01","2026-03-24"
"Ex 617","51","2026-02-01","2026-03-23"
"R 941","49","2026-02-11","2026-03-31"
"Os 7301","48","2026-01-01","2026-02-17"
"Ex 45","47","2026-02-13","2026-03-31"
"Ex 502","47","2026-02-13","2026-03-31"
"Ex 611","46","2026-02-14","2026-03-31"
"Ex 614","46","2026-02-14","2026-03-31"
"Os 7320","46","2026-01-22","2026-03-08"
"Os 8123","46","2026-02-03","2026-03-20"
"Ex 610","45","2026-02-15","2026-03-31"
"EC 280","43","2026-02-17","2026-03-31"
"Ex 44","43","2026-02-01","2026-03-15"
"EC 130","42","2026-01-01","2026-02-11"
"Os 8108","42","2026-01-01","2026-02-11"
"Os 9009","42","2026-02-18","2026-03-31"
"EC 130","41","2026-02-13","2026-03-25"
"Os 7301","41","2026-02-19","2026-03-31"
"Ex 612","40","2026-02-08","2026-03-19"
"Os 2028","40","2026-02-12","2026-03-23"
"R 941","40","2026-01-01","2026-02-09"
"Ex 618","39","2026-02-01","2026-03-11"
"Ex 640","39","2026-02-21","2026-03-31"
"Ex 42","37","2026-02-01","2026-03-09"
"Os 8102","37","2026-01-01","2026-02-06"
"Os 8108","37","2026-02-23","2026-03-31"
"EN 477","36","2026-01-01","2026-02-05"
"Ex 43","36","2026-02-24","2026-03-31"
"Os 8221","36","2026-02-24","2026-03-31"
"Os 5106","35","2026-02-25","2026-03-31"
"Ex 526","34","2026-02-01","2026-03-06"
"Os 18009","34","2026-02-26","2026-03-31"
"Os 9009","34","2026-01-06","2026-02-08"
"Os 6428","32","2026-01-29","2026-03-01"
"Os 8123","32","2026-01-01","2026-02-01"
"Ex 606","31","2026-02-01","2026-03-03"
"Ex 627","31","2026-02-08","2026-03-10"
"Ex 629","31","2026-02-01","2026-03-03"
"Ex 643","30","2026-02-01","2026-03-02"
"Os 5153","30","2026-02-16","2026-03-17"
"Ex 609","29","2026-02-26","2026-03-26"
"Ex 628","29","2026-02-01","2026-03-01"
"Ex 628","29","2026-03-03","2026-03-31"
"Os 6428","29","2026-03-03","2026-03-31"
"Os 8221","29","2026-01-25","2026-02-22"
"EN 443","28","2026-01-26","2026-02-22"
"Ex 47","28","2026-02-21","2026-03-20"
"Os 8208","28","2026-03-04","2026-03-31"
"Ex 606","27","2026-03-05","2026-03-31"
"Os 18009","27","2026-01-01","2026-01-27"
"Os 6428","27","2026-01-01","2026-01-27"
"EN 442","25","2026-03-07","2026-03-31"
"Ex 624","25","2026-02-01","2026-02-25"
"EN 442","24","2026-01-21","2026-02-13"
"Os 8102","24","2026-02-17","2026-03-12"
"Os 18022","23","2026-03-06","2026-03-28"
"Os 8221","23","2026-01-01","2026-01-23"
"EN 443","22","2026-03-10","2026-03-31"
"Ex 43","22","2026-02-01","2026-02-22"
"Ex 624","22","2026-03-10","2026-03-31"
"Os 7320","22","2026-03-10","2026-03-31"
"Ex 42","21","2026-03-11","2026-03-31"
"Ex 629","21","2026-03-11","2026-03-31"
"REX 1924","21","2026-03-11","2026-03-31"
