"day","daily_revenue","cumulative_revenue"
"2025-12-02","1.38","1.38"
"2025-12-03","2.80","4.18"
"2025-12-04","10.07","14.25"
"2025-12-05","15.73","29.98"
"2025-12-06","15.07","45.05"
"2025-12-07","3.07","48.12"
"2025-12-08","12.50","60.62"
"2025-12-09","18.85","79.47"
"2025-12-10","19.63","99.10"
"2025-12-11","26.10","125.20"
"2025-12-12","52.51","177.71"
"2025-12-13","31.09","208.80"
"2025-12-14","20.33","229.13"
"2025-12-15","26.50","255.63"
"2025-12-16","50.97","306.60"
"2025-12-17","81.85","388.45"
"2025-12-18","29.42","417.87"
"2025-12-19","22.25","440.12"
"2025-12-20","52.05","492.17"
"2025-12-21","64.77","556.94"
"2025-12-22","43.24","600.18"
"2025-12-23","66.01","666.19"
"2025-12-24","59.05","725.24"
"2025-12-25","49.17","774.41"
"2025-12-26","40.98","815.39"
"2025-12-27","50.80","866.19"
"2025-12-28","56.44","922.63"
"2025-12-29","87.12","1009.75"
"2025-12-30","110.66","1120.41"
"2025-12-31","49.91","1170.32"
"2026-01-01","100.29","1270.61"
"2026-01-02","81.69","1352.30"
"2026-01-03","64.10","1416.40"
"2026-01-04","70.35","1486.75"
"2026-01-05","138.46","1625.21"
"2026-01-06","96.38","1721.59"
"2026-01-07","143.57","1865.16"
"2026-01-08","121.48","1986.64"
"2026-01-09","107.77","2094.41"
"2026-01-10","132.39","2226.80"
"2026-01-11","145.61","2372.41"
"2026-01-12","97.75","2470.16"
"2026-01-13","180.95","2651.11"
"2026-01-14","140.98","2792.09"
"2026-01-15","153.86","2945.95"
"2026-01-16","108.43","3054.38"
"2026-01-17","184.65","3239.03"
"2026-01-18","219.55","3458.58"
"2026-01-19","140.12","3598.70"
"2026-01-20","173.76","3772.46"
"2026-01-21","158.69","3931.15"
"2026-01-22","168.03","4099.18"
"2026-01-23","161.75","4260.93"
"2026-01-24","173.64","4434.57"
"2026-01-25","129.29","4563.86"
"2026-01-26","211.60","4775.46"
"2026-01-27","179.30","4954.76"
"2026-01-28","229.16","5183.92"
"2026-01-29","224.22","5408.14"
"2026-01-30","179.39","5587.53"
"2026-01-31","195.85","5783.38"
"2026-02-01","243.74","6027.12"
"2026-02-02","212.48","6239.60"
"2026-02-03","241.08","6480.68"
"2026-02-04","204.57","6685.25"
"2026-02-05","249.99","6935.24"
"2026-02-06","170.32","7105.56"
"2026-02-07","273.41","7378.97"
"2026-02-08","195.14","7574.11"
"2026-02-09","193.76","7767.87"
"2026-02-10","269.21","8037.08"
"2026-02-11","218.03","8255.11"
"2026-02-12","257.10","8512.21"
"2026-02-13","155.53","8667.74"
"2026-02-14","106.29","8774.03"
"2026-02-15","305.28","9079.31"
"2026-02-16","184.24","9263.55"
"2026-02-17","271.96","9535.51"
"2026-02-18","259.39","9794.90"
"2026-02-19","196.85","9991.75"
"2026-02-20","258.42","10250.17"
"2026-02-21","252.18","10502.35"
"2026-02-22","226.02","10728.37"
"2026-02-23","233.32","10961.69"
"2026-02-24","234.40","11196.09"
"2026-02-25","202.22","11398.31"
"2026-02-26","212.56","11610.87"
"2026-02-27","176.64","11787.51"
"2026-02-28","176.90","11964.41"
"2026-03-01","245.58","12209.99"
"2026-03-02","221.66","12431.65"
"2026-03-03","238.87","12670.52"
"2026-03-04","293.65","12964.17"
"2026-03-05","200.61","13164.78"
"2026-03-06","183.91","13348.69"
"2026-03-07","133.70","13482.39"
"2026-03-08","202.09","13684.48"
"2026-03-09","156.04","13840.52"
"2026-03-10","135.85","13976.37"
"2026-03-11","138.99","14115.36"
"2026-03-12","103.50","14218.86"
"2026-03-13","125.52","14344.38"
"2026-03-14","117.71","14462.09"
"2026-03-15","102.59","14564.68"
"2026-03-16","94.47","14659.15"
"2026-03-17","116.54","14775.69"
"2026-03-18","85.57","14861.26"
"2026-03-19","69.33","14930.59"
"2026-03-20","78.98","15009.57"
"2026-03-21","116.68","15126.25"
"2026-03-22","94.27","15220.52"
"2026-03-23","45.95","15266.47"
"2026-03-24","51.82","15318.29"
"2026-03-25","34.39","15352.68"
"2026-03-26","28.25","15380.93"
"2026-03-27","20.15","15401.08"
"2026-03-28","32.42","15433.50"
"2026-03-29","22.35","15455.85"
"2026-03-30","2.00","15457.85"
